번호,우선순위,업체명,카테고리,홈페이지,대표전화,이메일,문의채널,소재지,주요취급품목,중국자체소싱망,선정이유,출처URL
91,중,동화스포츠,스포츠·헬스·재활용품 유통사/OEM브랜드,https://www.donghwasports.net,,,https://www.donghwasports.net / 010 번호만 공개,부산광역시 강서구,라텍스밴드·운동밴드·요가매트·짐볼·폼롤러 등 헬스기구·운동용품,"불명(헬스용품 유통사, 제조 정보 미확인)",밴드·매트·짐볼·폼롤러 등 중국 OEM 의존도가 높은 헬스 소도구를 폭넓게 취급하는 유통사임.,https://www.donghwasports.net/
92,중,메디세일 (MEDISALE),스포츠·헬스·재활용품 유통사/OEM브랜드,https://medisale.co.kr,,medisale@inot-meditech.com,https://medisale.co.kr,,의료기기·의료소모품 기업 전용 B2B 도매몰,"약함(B2B 의료소모품 도매, 자체 공장 없음)",병원·약국 대상 의료소모품 B2B 도매몰로 보호대 등 소모품 라인업 확충 시 OEM 공급처가 필요함.,https://medisale.co.kr/
93,중,빅사이트 (필라모아 PILAMOA),스포츠·헬스·재활용품 유통사/OEM브랜드,https://pilamoa.com,,jaseatoz@naver.com,https://pilamoa.com,서울 강남구,필라테스 기구(리포머·캐포머)·소도구·미니폼롤러·센터운영 용품 (필라테스 센터 납품 전문몰),"약함(필라테스 전문 유통몰, 자체 공장 없음)",필라테스 센터 대상 토탈 납품몰로 소도구·보호대 PB 확장 시 중국 OEM 소싱 파트너가 필요함 (사이트 게시 연락처가 휴대전화라 대표전화는 미기재).,https://pilamoa.com
94,중,스포플 (SPOFL),스포츠·헬스·재활용품 유통사/OEM브랜드,https://spofl.co.kr,,,https://pf.kakao.com/_GVrxlK (카카오톡 채널),,폼롤러·마사지기·운동밴드·헬스케어 및 스포츠 브랜드 편집 플랫폼,"불명(브랜드 유통 플랫폼, 제조 정보 미확인)",다수 스포츠·헬스케어 브랜드를 유통하는 온라인 플랫폼으로 PB 소도구·보호대 개발 시 외부 OEM 파트너 수요 가능성이 있음.,https://spofl.co.kr/board/faq/3/
95,중,에스앤에스 (파워플러스몰),스포츠·헬스·재활용품 유통사/OEM브랜드,http://sns3524.godomall.com,,,http://sns3524.godomall.com/main/index.php?pcView=y,,의료용 관절보호대 제조·유통 (자체 브랜드 파워플러스·스포라이트·웰팜스),불명(제조·유통 전문사로 소개되나 공장 소재지 미확인),복수의 보호대 브랜드를 운영하는 관절보호대 전문 제조·유통사로 품목 보완용 중국 OEM 협업 여지가 있으나 자체 제조 가능성이 있어 경쟁 관계일 수 있음.,http://sns3524.godomall.com/main/index.php?pcView=y
96,중,트라택 (TRATAC),스포츠·헬스·재활용품 유통사/OEM브랜드,https://tratac.co.kr,,,https://tratac.co.kr,,세라밴드 등 재활·헬스케어 운동용품 (헬스케어 플랫폼),"불명(헬스케어 유통 플랫폼, 제조 정보 미확인)",재활·헬스케어 용품 플랫폼으로 물리치료실·재활센터 납품용 보호대·밴드 OEM 공급처가 필요할 수 있음.,https://tratac.co.kr/shop/prd_list.php?catcode=161100
97,중,하라스포츠,스포츠·헬스·재활용품 유통사/OEM브랜드,https://harasports.net,063-462-6300,hhhh4076@naver.com,https://harasports.net,전북특별자치도 군산시,원판·아령·바벨봉·케틀벨·메디슨볼·폼롤러·요가매트 등 헬스 소도구 85종,"불명(헬스 소도구 유통, 제조 정보 미확인)",헬스 소도구 전 품목을 취급하는 유통사로 보호대·소도구 신규 소싱 파트너로 접근 가능함.,https://harasports.net/
98,중,(주)비즈마켓,제약·의료·치과 판촉물 벤더,https://www.bizmarket.com/,1670-1628,,https://www.bizmarket.com/promotion,서울 용산구,"제약·전자·금융사 사은품·판촉물 제작, 제약사 전용(PL/PB) 상품 개발, 캐릭터·로고 활용 굿즈, 기업 판촉몰 구축",불명 (글로벌 B2B 서비스 언급은 있으나 자체 중국공장·지사 명시 없음),"제약사 대상 전용 판촉물·PL/PB 굿즈 개발을 사업영역으로 명시한 업체로, 규모는 크지만 제약 판촉 물량이 안정적임.",https://www.bizmarket.com/promotion
99,중,가로기프트,제약·의료·치과 판촉물 벤더,https://garogift.com/,,,https://garogift.com/,,"병원 판촉물, 약국 판촉물, 텀블러, 기념품, 업종별(보험·학교·학원·교회) 판촉물",불명 (자체 공장·중국지사 언급 없음),병원·약국 판촉물 전용 페이지를 운영하는 소규모 판촉물 중개 벤더로 의료 고객 대상 굿즈 소싱 파트너 수요가 예상됨.,https://garogift.com/%EB%B3%91%EC%9B%90-%ED%8C%90%EC%B4%89%EB%AC%BC/
100,중,나래기프트,제약·의료·치과 판촉물 벤더,https://naregift.kr/,,,https://naregift.kr/,,"병원·관공서·기업·학원 홍보용품 주문제작 (텀블러, 볼펜·형광펜, 키링, 파우치, 선물세트)",불명 (자체 공장·중국지사 언급 없음),병원을 주요 납품처로 명시한 소규모 판촉물 주문제작 쇼핑몰로 자체 생산시설 없이 유통 중심이라 중국 생산 파트너 제안 여지가 있음.,https://naregift.kr/m/sub/prdview.php?prdcode=249476
101,중,라임기프트판촉물,제약·의료·치과 판촉물 벤더,https://limegiftmall.com/,,,https://limegiftmall.com/,,"병원/약국 판촉물 카테고리, 기념품, 사은품",불명 (자체 공장·중국지사 언급 없음),병원/약국 판촉물 카테고리를 별도로 운영하는 소규모 판촉물 쇼핑몰로 의료 고객향 굿즈 소싱 협업 여지가 있음.,https://limegiftmall.com/list/list.html?ccode=12292
102,중,바나나조이,제약·의료·치과 판촉물 벤더,http://bananajoy.kr/,,,http://bananajoy.kr/,,"병원/약국 사은품 카테고리, 주문제작 다이어리, 타올·우산세트, 기념품 도매",불명 (자체 공장·중국지사 언급 없음),병원/약국 전용 사은품 카테고리를 운영하는 소규모 판촉물 도매몰로 의료 고객 납품용 굿즈 소싱 파트너 제안이 가능함.,http://www.bananajoy.kr/list/list.html?ccode=12292
103,중,알짜기프트,제약·의료·치과 판촉물 벤더,http://aljjagift.com/,1661-8712,,http://aljjagift.com/,서울 금천구,"홍보판촉물, 기념품, 답례품, 단체선물 도매",약함 (조아기프트 네트워크 소속 판매점으로 자체 공장·중국지사 언급 없음),제약사 판촉물 검색에 노출되는 소규모 판촉물 도매 벤더로 자체 생산시설 없이 유통 중심이라 소싱 파트너 제안이 가능함.,http://aljjagift.com/
104,중,조일기프트 / (주)올가코리아,제약·의료·치과 판촉물 벤더,https://joilgift.kr/,,gift@olgakorea.com,https://joilgift.kr/,용인 기흥구,"온습도계, 주문제작 에코백·뱃지·북마크, 핸드타올, 생활용품 판촉물",불명 (자체 공장·중국지사 언급 없음),온습도계 등 제약 판촉 단골 품목을 취급하는 소규모 판촉물 벤더로 주문제작형 굿즈 소싱 수요가 있음.,https://joilgift.kr/m/sub/prdview.php?prdcode=212000
105,중,판촉물365 (HS/판촉물365),제약·의료·치과 판촉물 벤더,https://dapaleo.com/,,heesu18900@gmail.com,https://www.dapaleo.com/new/customer/sample.htm,,"기업·병원·은행·관공서 맞춤 우산, 타올, 볼펜, 텀블러, 머그, 보조배터리, USB, 캘린더","불명 (자체 공장·중국지사 언급 없음, 여성기업·창업기업 인증 소규모 업체)",병원을 주요 고객군으로 명시한 여성기업 인증 소규모 판촉물 벤더로 원가 경쟁력 있는 중국 생산 파트너 수요가 예상됨.,https://dapaleo.business.site/
106,중,판촉물파트너(인쇄기프트 스토어),제약·의료·치과 판촉물 벤더,https://printgift.co.kr/,070-4238-6667,,https://printgift.co.kr/shopinfo/company.html,서울 광진구,"판촉물·기념품·답례품 도매 인쇄 제작 (클립형 볼펜, 웹캠커버, 보조배터리 등)",불명 (자체 공장·중국지사 언급 없음),약국 판촉물 검색에 노출되는 소규모 인쇄·판촉물 도매 스토어로 자체 공장 없이 인쇄 가공 중심이라 중국 소싱 협업 여지가 있음.,https://printgift.co.kr/shopinfo/company.html
107,중,O-SEAN(런투더퓨처랩스),캐릭터·IP·팬굿즈 기획사,https://o-sean.io/,,,https://o-sean.io/ (견적 문의·1:1 상담 폼),,"게임·엔터 IP 피규어 키링, 아크릴 키링·뱃지, 에코백·파우치, 텀블러, 문구, 디지털 굿즈(MOQ 50~100개)","약함(자체 생산 라인 보유 표기, 중국 거점 언급 없음)",게임·엔터 IP용 피규어 키링을 MOQ 100개·4주로 제작하는 스타트업으로 소량 다품종 생산을 위한 중국 소싱 파트너가 보완적으로 필요할 수 있다.,https://o-sean.io/about ; https://o-sean.io/category/item/LS-023
108,중,굿즈나라(헤세드하우스),캐릭터·IP·팬굿즈 기획사,https://goodsnara.com/,031-994-7740,hesedhouse2@naver.com,"https://goodsnara.com/form (굿즈 디자인 폼), 카카오톡 채널(24시간 문의)",경기 고양시 일산서구,"KPOP 아이돌 팬굿즈(슬로건, 이미지피켓, 반사 포토슬로건), 캔텀블러, 보조배터리, 기념품",불명(홈페이지에 생산 거점·중국 공장 언급 없음),아이돌 팬덤 대상 응원 굿즈·잡화를 기획 제작하는 소규모 업체로 텀블러·배터리 등 공산품은 외부 소싱이 필요해 중국 파트너 수요가 있을 수 있다.,https://goodsnara.com/ ; https://goodsnara.com/form
109,중,스마일웍스,캐릭터·IP·팬굿즈 기획사,http://www.smileworks.co.kr/,02-2675-8755,moon@smileworks.co.kr,http://www.smileworks.co.kr/default/online/sub1.php (온라인 문의),서울 영등포구,"봉제인형, 사출 피규어, 웹소설·연예인·캐릭터 굿즈, 스트레스볼 등 기타 굿즈","불명(국내·국외 패턴 개발실 운영 표기, 해외 거점 국가·공장 미공개)",봉제인형에서 사출 피규어·잡화까지 품목이 넓어 자체 개발실 외 양산 공장 다변화 시 중국 소싱 파트너가 도움이 될 수 있다.,http://www.smileworks.co.kr/default/work/sub1.php ; http://www.smileworks.co.kr/default/work/sub2.php
110,중,시나브로(토이웍스 인형사업부),캐릭터·IP·팬굿즈 기획사,https://www.toyworks.kr/,032-554-9954,toyworks@daum.net,https://www.toyworks.kr/service/company.php (회사소개·문의),인천 계양구,"캐릭터 인형 OEM(생산·검수·유통·납품), 판촉물·기념품 유통","불명(회사소개에 '중국OEM' 명시, 자체 공장·지사 여부 미공개)",중국 OEM을 활용해 인형·판촉물을 공급하는 유통형 업체라 신뢰할 수 있는 현지 소싱 파트너 추가에 관심을 가질 수 있다.,https://www.toyworks.kr/service/company.php ; https://www.cinavro.kr/service/company.php
111,중,아이텐션,캐릭터·IP·팬굿즈 기획사,https://itension.co.kr/,070-8015-2628,itension@naver.com,https://itension.co.kr/ (온라인 주문·문의),경기 김포시,"아크릴 키링·스탠드·코롯토, 캐릭터 피규어, 등신대, 디오라마, 패브릭 굿즈","약함(국내 인쇄·아크릴 자체 제작 위주, 중국 거점 언급 없음)",아크릴 굿즈는 국내 자체 가공하지만 피규어·패브릭 등 품목 확장 시 중국 소싱이 필요할 수 있어 보조 파트너로 접근 가능하다.,https://itension.co.kr/ ; https://www.daangn.com/kr/local-profile/6204/
112,중,이너부스(INABOOTH),캐릭터·IP·팬굿즈 기획사,https://inabooth.io/,,,https://inabooth.io/ko (플랫폼 내 채팅·협업 제안),서울 마포구,"캐릭터 IP 라이선싱·콜라보 중개, MD(굿즈) 제작 지원, IP 트렌드 정보",불명(IP 거래 플랫폼으로 자체 생산 거점 언급 없음),캐릭터 IP 라이선싱부터 MD 제작까지 원스톱 지원을 표방하는 플랫폼이라 굿즈 제작 단계에서 연결할 중국 소싱 파트너가 필요할 수 있다.,https://inabooth.io/en ; https://news.mt.co.kr/mtview.php?no=2022050311250916932
113,중,케빈스룸,캐릭터·IP·팬굿즈 기획사,https://www.kevinsroom.co.kr/,070-4333-2019,Kevin@kevinsroom.co.kr,"https://www.kevinsroom.co.kr/contactmain (견적문의), 카카오톡 채널 https://pf.kakao.com/_aJxcxgxb",경기 광명시,"캐릭터 봉제인형, 인형 키링, 파우치 키링, 핸드워머, 스트레스볼, 풉백 파우치","불명(국내 제작이 어려운 봉제 인형을 합리적 단가로 제작한다고 표기, 해외 공장 소재 미공개)",봉제 캐릭터 굿즈를 해외 생산 기반으로 공급하는 소규모 업체로 생산처 다변화나 신규 품목 소싱 시 중국 파트너가 유용할 수 있다.,https://www.kevinsroom.co.kr/contactmain ; https://www.kevinsroom.co.kr/plushdoll
114,중,위오아이엔씨(WEO),캐릭터·IP·팬굿즈 기획사 · 판촉물·굿즈 제작대행사,https://weo.co.kr/,02-2088-2427,weomail@weo.co.kr,https://weo.co.kr/ (제작 문의 게시판),서울 영등포구,"봉제인형(아이돌 인형, 라이선스 캐릭터 인형), 캐릭터 굿즈, 프로모션 상품 / 봉제인형, 캐릭터·아이돌 IP 굿즈, 프로모션 상품","불명(인형 샘플실 및 직영공장 보유 표기, 공장 소재지 미공개)",인형 직영공장을 보유해 봉제는 자체 처리하나 아이돌·IP 굿즈로 품목이 넓어 비봉제 품목의 중국 소싱 파트너가 필요할 수 있다. / 봉제 자체 공장을 보유해 인형류는 자급하지만 그 외 굿즈 카테고리는 외부 소싱이 필요할 수 있다.,https://weo.co.kr/ ; https://bizno.net/article/7378700350
115,중,굿즈24((주)위펀),판촉물·굿즈 제작대행사,https://wefuncorp.com/goods,1644-4624,sales@snack24h.com,https://wefuncorp.com/goods (굿즈24 상담 신청),서울 강남구,"기업 웰컴키트, 오피스 키트, 아이돌·웹툰 IP 굿즈, 브랜드 굿즈",불명(자체 공장·중국 지사 언급 확인 안 됨),기업복지 플랫폼(스낵24)의 굿즈 사업부로 자체 제조가 없어 외부 소싱 파트너가 필요하지만 기존 거래 벤더가 있을 가능성이 있다.,https://wefuncorp.com/goods
116,중,빅스템(BIGSTEM),판촉물·굿즈 제작대행사,https://bigstem.co.kr/,,smooji@daum.net,"카카오톡 채널 https://pf.kakao.com/_xihxixnb, https://bigstem.co.kr/ (제작문의)",서울 강북구,"레디백, 폴딩카트, 봉제인형 키링, 리유저블백 등 기업·전시·행사 프로모션 굿즈","약함(중국 주요 제조업체에 직원 파견해 협력관계 구축 언급, 자체 공장·지사는 아님)",이미 중국 협력 제조사 네트워크를 운영하지만 자체 법인은 없어 신규 카테고리 소싱이나 검수 대행 파트너로는 협업 여지가 있다.,https://bigstem.co.kr/about-us/
117,중,올댓프린팅,판촉물·굿즈 제작대행사,https://allthatprinting.co.kr/,031-418-1109,allthatprinting.m@gmail.com,https://allthatprinting.co.kr/board/문의하기/6/ (문의 게시판),안산 단원구,"아크릴 키링·스탠드·코롯토·스마트톡, NFC 굿즈, 기업 홍보 굿즈","약함(국내 아크릴 자체 생산 위주, 중국 공장·지사 언급 없음)",아크릴 굿즈는 국내 자체 생산하지만 기업 홍보 굿즈 카테고리 확장 시 아크릴 외 품목의 중국 소싱 파트너가 필요할 수 있다.,https://allthatprinting.co.kr/about.html
118,하,기프트위키,관공서·학교·금융·프랜차이즈 판촉 납품업체,https://giftwiki.kr/,1522-8992,,,,기념품·홍보용품 맞춤 제작 판촉물,불명(사이트 접근 차단으로 확인 불가),기념품·홍보용품 맞춤 제작 판촉몰로 검색에 노출되나 취급 규모와 연락처를 확인하지 못해 우선순위는 낮음.,https://giftwiki.kr/
119,하,딜리버리팩토리((주)커넥트어센드),무역·소싱대행·수입도매,https://deliveryfactory.co.kr,070-8834-1001,mousy008@cscommerce.co.kr,https://deliveryfactory.co.kr/service,서울 서초구,"중국수입대행, OEM제조, 식약처검사대행, 물류관리",강함(자체공장/지사)(중국공장 직수입·OEM 제조 서비스를 자체 운영),중국공장 직수입·OEM 대행을 자체 서비스로 운영하는 직접 경쟁사로 외부 소싱 파트너 수요가 낮다.,https://deliveryfactory.co.kr/
120,하,세인(SEIN),무역·소싱대행·수입도매,,,,,,"중국 완제품 소싱·구매대행, OEM 제작·생산관리, 검품·국제물류","강함(자체공장/지사)(중국 현지법인·한국지사 운영, 대표 중국 거주 26년)",중국 현지법인을 직접 운영하며 소싱·OEM·검품을 일괄 수행하는 직접 경쟁사다.,https://www.japantalk.net/free/?mod=document&uid=5110
121,하,소싱차이나,무역·소싱대행·수입도매,https://sourcingchina.co.kr,,,https://sourcingchina.co.kr/,,"중국수입대행, 굿즈제작(OEM), 의류사입, 안전인증 대행",불명(중국 수입대행 전문이나 자체 지사 여부 미확인),중국 수입대행·굿즈 OEM을 직접 수행하는 동종 경쟁사다.,https://sourcingchina.co.kr/go_01/
122,하,이우허브,무역·소싱대행·수입도매,https://www.yiwuhub.net,,,https://www.yiwuhub.net/34,,"중국(이우) 수입대행, OEM","불명(이우 기반 수입대행 표방, 자체 지사 여부 미확인)",이우 도매시장 기반 수입대행·OEM을 직접 제공하는 동종 경쟁사다.,https://www.yiwuhub.net/34
123,하,홀세일차이나,무역·소싱대행·수입도매,https://wholesalechina.co.kr,070-8248-6654,,https://wholesalechina.co.kr/board/list/code/faq,,"중국 구매대행, 시장조사, 수입대행, 배송대행(중국 현지 물류센터)",강함(자체공장/지사)(중국 현지 물류센터 운영 명시),중국 현지 물류센터와 수입대행을 직접 운영하는 경쟁사로 외부 소싱망이 필요하지 않다.,https://wholesalechina.co.kr/agency/delivery
124,하,드림토이,소규모 판촉물·패키징 중개벤더,http://www.dreamtoy.co.kr,02-896-2020,,http://www.dreamtoy.co.kr/sub03/sub01.php,서울 금천구,"캐릭터 인형 주문제작, 기업·방송사·이벤트사 OEM 인형 굿즈",강함(자체공장/지사) — 한국·중국 자체 공장 운영 명시,가산 인근 인형 OEM 업체이나 이미 중국 자체 공장을 보유해 소싱 대행 수요는 낮음.,https://dreamtoy.co.kr/
125,하,(주)우정피앤피,제약·의료·치과 판촉물 벤더,https://www.wjung.com/,02-2285-1589,kind3000@hanmail.net,https://www.wjung.com/contact/guide.html,서울 중구,"홍보물, 굿즈, 카탈로그·브로셔, 박스 패키지, 엽서, 소량 인쇄물","약함 (서울 충무로 자체 인쇄소 보유, 중국 공장·지사 언급 없음)",임플란트·치과 홍보물 검색에 노출되는 인쇄 기반 홍보물·굿즈 제작사로 인쇄 외 굿즈 품목은 외주 소싱이 필요할 것으로 보임.,https://www.wjung.com/contact/guide.html
126,하,세명사,제약·의료·치과 판촉물 벤더,https://www.sm1982.com/,,,https://www.sm1982.com/,,"클립펜 주문제작, 다색볼펜·형광펜·메탈펜, 문구세트, 수첩, 기획상품",강함(자체공장/지사) 추정 (사이트에 중국 공장 생산 상품 및 국내제작사례 구분 표기),제약사 판촉 단골인 클립펜 주문제작을 전문으로 하나 이미 중국 공장 생산 라인을 언급하고 있어 신규 소싱 수요는 제한적임.,https://www.sm1982.com/shop/item.php?it_id=00111658455335
127,하,쿠디솜,캐릭터·IP·팬굿즈 기획사,https://www.qudisom.com/,1666-0211,,https://www.qudisom.com/ (고객 문의 게시판·주문 프로세스 페이지),인천 남동구,"캐릭터 인형·봉제 아이템, 캐릭터 굿즈, KC인증 대행","강함(자체공장/지사)(항저우·양저우·웨이팡 직영 공장 주소 공개, 중간 유통 없이 직접 생산)",중국 직영 공장 3곳 이상을 운영하는 구조라 외부 중국 소싱 파트너 필요성이 낮고 오히려 경쟁사에 가깝다.,https://www.qudisom.com/ ; https://www.qudisom.com/sewingorder
128,하,팔팔토이(88TOY),캐릭터·IP·팬굿즈 기획사 · 소규모 판촉물·패키징 중개벤더,http://www.88toy.co.kr/,02-6052-0150,pp.88toy@gmail.com,http://www.88toy.co.kr/ABOUTOEM (제작문의 게시판 후 이메일 접수),서울 구로구,"캐릭터 봉제인형 OEM(샘플 1개~10만개), 인형 부자재·라벨 / 캐릭터 인형·봉제 굿즈 OEM, 소량 샘플~대량 제작","강함(자체공장/지사)(중국 청도 공장과 독점계약해 자사 제품만 생산, 서울 항동 샘플개발실 운영)",이미 청도 독점 공장을 확보한 인형 제조사로 인형 외 품목(피규어·잡화) 소싱이 아니면 외부 중국 파트너 수요가 낮다. / 구로 소재 소규모 인형·캐릭터 굿즈 OEM 창구로 기업 IP 굿즈 발주를 받아 해외 생산을 병행하는 업체.,http://www.88toy.co.kr/ABOUTOEM ; http://www.88toy.co.kr/183
129,하,고굿즈(GOGOODS),판촉물·굿즈 제작대행사,https://gogoods.kr/,,,https://gogoods.kr/manufacturing (제작·소싱 문의),,"굿즈·패션잡화 OEM/ODM, 중국 공장 소싱, 구매대행","강함(자체공장/지사)(이우 지사, 심천/동관 지사 운영 및 현지 검수·A/S 명시)",중국 이우·심천·동관 지사를 직접 운영하는 소싱형 업체라 외부 중국 소싱 파트너가 필요하지 않고 오히려 경쟁사에 가깝다.,https://gogoods.kr/manufacturing
130,하,판촉사랑,판촉물·굿즈 제작대행사 · 관공서·학교·금융·프랜차이즈 판촉 납품업체,https://www.87sarang.com/,1688-8744,gift@87sarang.com,https://www.87sarang.com/co/contact2.html (질문과답변/견적문의),인천 남동구,"기업 판촉물, 답례품, 기념품, 홍보물(자체 인쇄시설 보유) / 기업·금융권·공공기관 판촉물, 답례품, 기념품 (전국 지역별 판촉사랑 분점망 운영)",강함(자체공장/지사)(회사소개에 중국지사 보유 및 디자인연구소·자체 인쇄시설 명시),중국지사와 자체 인쇄시설을 갖춘 판촉물 전문기업이라 외부 중국 소싱 파트너 필요성이 낮다. / 서울·부산·경남·전남·제주 등 전국 지역 분점망을 갖추고 업종별(금융권 포함) 납품사례를 공개하는 규모 있는 업체로 다품종 대량 소싱 파트너 수요가 클 것으로 판단됨.,https://www.87sarang.com/co/company2.html
